,task_id,user_id,x,y,rad
0,1,0,0.5911539874375096,0.930795854084801,0.04
1,1,0,0.7093732470743471,0.9463711228848438,0.04
2,1,1,0.5697140046671099,0.9179245709858238,0.04
3,1,1,0.48501161015328387,0.3661018641285432,0.04
4,1,2,0.8595639303485335,0.3435693730314182,0.04
5,1,2,0.5835875161990736,0.7166745187841637,0.04
6,1,3,0.35628081171429904,0.4675813164869077,0.04
7,1,3,0.9258059699588108,0.6917491899576377,0.04
8,1,4,0.5004171350508871,0.5260180682182424,0.04
9,1,4,0.411841344562655,0.9585700337588651,0.04
10,1,5,0.042410417554014535,0.33977472660191443,0.04
11,1,5,0.0729151205479347,0.19502468581297194,0.04
12,1,6,0.4447445094153223,0.8109111723892266,0.04
13,1,6,0.5970995968787588,0.6690450812155782,0.04
14,1,7,0.03960986400852562,0.47126500786548886,0.04
15,1,7,0.37835411797882534,0.6331549228073545,0.04
16,1,8,0.21707037886954472,0.4401430336070228,0.04
17,1,8,0.42368379130018063,0.3916582854955736,0.04
18,1,9,0.6467533007105717,0.4002833745714145,0.04
19,1,9,0.8149119667381676,0.5375743239767979,0.04
